pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,currency,name,buy_from_abroad,sell_to_abroad,mid_rate,date
AUD/SEK,AUD,SEK,1,6.65130,6.73960,AUD,Australiensiska dollar,6.65130,6.73960,6.69545,2026-07-10
BRL/SEK,BRL,SEK,1,1.8338,1.9346,BRL,Brasilianska real,1.8338,1.9346,1.8842,2026-07-10
CAD/SEK,CAD,SEK,1,6.7589,6.8469,CAD,Kanadensiska dollar,6.7589,6.8469,6.8029,2026-07-10
CHF/SEK,CHF,SEK,1,11.8785,12.0151,CHF,Schweiziska franc,11.8785,12.0151,11.9468,2026-07-10
CNY/SEK,CNY,SEK,1,1.4071,1.4379,CNY,Kinesiska yuan,1.4071,1.4379,1.4225,2026-07-10
CZK/SEK,CZK,SEK,1,0.44952,0.45882,CZK,Tjeckiska koruna,0.44952,0.45882,0.45417,2026-07-10
DKK/SEK,DKK,SEK,1,1.4653,1.4819,DKK,Danska kronor,1.4653,1.4819,1.4736,2026-07-10
EUR/SEK,EUR,SEK,1,10.9487,11.0823,EUR,Euro,10.9487,11.0823,11.0155,2026-07-10
GBP/SEK,GBP,SEK,1,12.8540,12.9998,GBP,Pound sterling,12.8540,12.9998,12.9269,2026-07-10
HKD/SEK,HKD,SEK,1,1.2174,1.2420,HKD,Hong Kong dollar,1.2174,1.2420,1.2297,2026-07-10
HUF/SEK,HUF,SEK,1,0.0304050,0.0314340,HUF,Ungerska forint,0.0304050,0.0314340,0.0309195,2026-07-10
ILS/SEK,ILS,SEK,1,3.1311,3.2895,ILS,Israelska new shekel,3.1311,3.2895,3.2103,2026-07-10
INR/SEK,INR,SEK,1,0.097800,0.104450,INR,Indiska rupees,0.097800,0.104450,0.101125,2026-07-10
JPY/SEK,JPY,SEK,1,0.059052,0.060082,JPY,Japanska yen,0.059052,0.060082,0.059567,2026-07-10
NOK/SEK,NOK,SEK,1,0.98130,0.99600,NOK,Norska kronor,0.98130,0.99600,0.98865,2026-07-10
NZD/SEK,NZD,SEK,1,5.5182,5.6064,NZD,Nya Zeeländska dollar,5.5182,5.6064,5.5623,2026-07-10
PLN/SEK,PLN,SEK,1,2.5029,2.5645,PLN,Polska zloty,2.5029,2.5645,2.5337,2026-07-10
SGD/SEK,SGD,SEK,1,7.4244,7.5076,SGD,Singapore dollar,7.4244,7.5076,7.4660,2026-07-10
THB/SEK,THB,SEK,1,0.28269,0.29591,THB,Thailändska baht,0.28269,0.29591,0.28930,2026-07-10
TRY/SEK,TRY,SEK,1,0.187110,0.223220,TRY,Turkiska lira,0.187110,0.223220,0.205165,2026-07-10
USD/SEK,USD,SEK,1,9.5730,9.7064,USD,Amerikanska dollar,9.5730,9.7064,9.6397,2026-07-10
ZAR/SEK,ZAR,SEK,1,0.581590,0.601980,ZAR,Sydafrikanska rand,0.581590,0.601980,0.591785,2026-07-10
