pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,currency,name,buy_from_abroad,sell_to_abroad,mid_rate,date
AUD/SEK,AUD,SEK,1,6.5886,6.6770,AUD,Australiensiska dollar,6.5886,6.6770,6.6328,11:59:59
BRL/SEK,BRL,SEK,1,1.7954,1.8962,BRL,Brasilianska real,1.7954,1.8962,1.8458,11:59:59
CAD/SEK,CAD,SEK,1,6.68930,6.77720,CAD,Kanadensiska dollar,6.68930,6.77720,6.73325,11:59:59
CHF/SEK,CHF,SEK,1,11.7672,11.9038,CHF,Schweiziska franc,11.7672,11.9038,11.8355,11:59:59
CNY/SEK,CNY,SEK,1,1.37700,1.40770,CNY,Kinesiska yuan,1.37700,1.40770,1.39235,11:59:59
CZK/SEK,CZK,SEK,1,0.44657,0.45587,CZK,Tjeckiska koruna,0.44657,0.45587,0.45122,11:59:59
DKK/SEK,DKK,SEK,1,1.4508,1.4674,DKK,Danska kronor,1.4508,1.4674,1.4591,11:59:59
EUR/SEK,EUR,SEK,1,10.8388,10.9724,EUR,Euro,10.8388,10.9724,10.9056,11:59:59
GBP/SEK,GBP,SEK,1,12.56160,12.70730,GBP,Pound sterling,12.56160,12.70730,12.63445,11:59:59
HKD/SEK,HKD,SEK,1,1.18920,1.21370,HKD,Hong Kong dollar,1.18920,1.21370,1.20145,11:59:59
HUF/SEK,HUF,SEK,1,0.030409,0.031439,HUF,Ungerska forint,0.030409,0.031439,0.030924,11:59:59
ILS/SEK,ILS,SEK,1,3.1518,3.3104,ILS,Israelska new shekel,3.1518,3.3104,3.2311,11:59:59
INR/SEK,INR,SEK,1,0.0956550,0.1023000,INR,Indiska rupees,0.0956550,0.1023000,0.0989775,11:59:59
JPY/SEK,JPY,SEK,1,0.0582980,0.0593310,JPY,Japanska yen,0.0582980,0.0593310,0.0588145,11:59:59
NOK/SEK,NOK,SEK,1,0.98010,0.99480,NOK,Norska kronor,0.98010,0.99480,0.98745,11:59:59
NZD/SEK,NZD,SEK,1,5.44800,5.53610,NZD,Nya Zeeländska dollar,5.44800,5.53610,5.49205,11:59:59
PLN/SEK,PLN,SEK,1,2.53760,2.59930,PLN,Polska zloty,2.53760,2.59930,2.56845,11:59:59
SGD/SEK,SGD,SEK,1,7.2949,7.3781,SGD,Singapore dollar,7.2949,7.3781,7.3365,11:59:59
THB/SEK,THB,SEK,1,0.281620,0.294830,THB,Thailändska baht,0.281620,0.294830,0.288225,11:59:59
TRY/SEK,TRY,SEK,1,0.185460,0.221570,TRY,Turkiska lira,0.185460,0.221570,0.203515,11:59:59
USD/SEK,USD,SEK,1,9.34760,9.48090,USD,Amerikanska dollar,9.34760,9.48090,9.41425,11:59:59
ZAR/SEK,ZAR,SEK,1,0.568560,0.588950,ZAR,Sydafrikanska rand,0.568560,0.588950,0.578755,11:59:59
