pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,currency,name,buy_from_abroad,sell_to_abroad,mid_rate,date
AUD/SEK,AUD,SEK,1,6.6673,6.7557,AUD,Australiensiska dollar,6.6673,6.7557,6.7115,2026-07-31
BRL/SEK,BRL,SEK,1,1.8347,1.9355,BRL,Brasilianska real,1.8347,1.9355,1.8851,2026-07-31
CAD/SEK,CAD,SEK,1,6.76430,6.85220,CAD,Kanadensiska dollar,6.76430,6.85220,6.80825,2026-07-31
CHF/SEK,CHF,SEK,1,11.7357,11.8735,CHF,Schweiziska franc,11.7357,11.8735,11.8046,2026-07-31
CNY/SEK,CNY,SEK,1,1.3978,1.4286,CNY,Kinesiska yuan,1.3978,1.4286,1.4132,2026-07-31
CZK/SEK,CZK,SEK,1,0.44891,0.45821,CZK,Tjeckiska koruna,0.44891,0.45821,0.45356,2026-07-31
DKK/SEK,DKK,SEK,1,1.4602,1.4768,DKK,Danska kronor,1.4602,1.4768,1.4685,2026-07-31
EUR/SEK,EUR,SEK,1,10.9107,11.0443,EUR,Euro,10.9107,11.0443,10.9775,2026-07-31
GBP/SEK,GBP,SEK,1,12.76000,12.90570,GBP,Pound sterling,12.76000,12.90570,12.83285,2026-07-31
HKD/SEK,HKD,SEK,1,1.20430,1.22880,HKD,Hong Kong dollar,1.20430,1.22880,1.21655,2026-07-31
HUF/SEK,HUF,SEK,1,0.029692,0.030720,HUF,Ungerska forint,0.029692,0.030720,0.030206,2026-07-31
ILS/SEK,ILS,SEK,1,3.04620,3.20450,ILS,Israelska new shekel,3.04620,3.20450,3.12535,2026-07-31
INR/SEK,INR,SEK,1,0.0966990,0.1033500,INR,Indiska rupees,0.0966990,0.1033500,0.1000245,2026-07-31
JPY/SEK,JPY,SEK,1,0.059115,0.060149,JPY,Japanska yen,0.059115,0.060149,0.059632,2026-07-31
NOK/SEK,NOK,SEK,1,0.9946,1.0094,NOK,Norska kronor,0.9946,1.0094,1.0020,2026-07-31
NZD/SEK,NZD,SEK,1,5.56270,5.65080,NZD,Nya Zeeländska dollar,5.56270,5.65080,5.60675,2026-07-31
PLN/SEK,PLN,SEK,1,2.51370,2.57540,PLN,Polska zloty,2.51370,2.57540,2.54455,2026-07-31
SGD/SEK,SGD,SEK,1,7.39410,7.47740,SGD,Singapore dollar,7.39410,7.47740,7.43575,2026-07-31
THB/SEK,THB,SEK,1,0.279130,0.292340,THB,Thailändska baht,0.279130,0.292340,0.285735,2026-07-31
TRY/SEK,TRY,SEK,1,0.18271,0.21881,TRY,Turkiska lira,0.18271,0.21881,0.20076,2026-07-31
USD/SEK,USD,SEK,1,9.4744,9.6078,USD,Amerikanska dollar,9.4744,9.6078,9.5411,2026-07-31
ZAR/SEK,ZAR,SEK,1,0.56668,0.58704,ZAR,Sydafrikanska rand,0.56668,0.58704,0.57686,2026-07-31
