country,pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,buy_rate,sell_rate,date
Australien,AUD/SEK,AUD,SEK,1,6.6102,6.6903,6.6102,6.6903,12/6
Danmark,DKK/SEK,DKK,SEK,1,1.452355,1.468355,1.452355,1.468355,15/6
Euro,EUR/SEK,EUR,SEK,1,10.8665,11.0065,10.8665,11.0065,12/6
Hongkong,HKD/SEK,HKD,SEK,1,1.1928,1.219,1.1928,1.219,12/6
Indien,INR/SEK,INR,SEK,1,0.096168,0.102369,0.096168,0.102369,15/6
Indonesien,IDR/SEK,IDR,SEK,1,0.000515,0.000548,0.000515,0.000548,15/6
Island,ISK/SEK,ISK,SEK,1,0.075553,0.075893,0.075553,0.075893,15/6
Japan,JPY/SEK,JPY,SEK,1,0.058427,0.059368,0.058427,0.059368,15/6
Kanada,CAD/SEK,CAD,SEK,1,6.7134,6.7994,6.7134,6.7994,15/6
Kina,CNY/SEK,CNY,SEK,1,1.3853,1.4053,1.3853,1.4053,15/6
Malaysia,MYR/SEK,MYR,SEK,1,2.312827,2.342828,2.312827,2.342828,12/6
Marocko,MAD/SEK,MAD,SEK,1,1.0026,1.0372,1.0026,1.0372,12/6
Mexiko,MXN/SEK,MXN,SEK,1,0.5415,0.5556,0.5415,0.5556,12/6
Norge,NOK/SEK,NOK,SEK,1,0.985745,0.998745,0.985745,0.998745,15/6
Nya Zeeland,NZD/SEK,NZD,SEK,1,5.463,5.5451,5.463,5.5451,12/6
Polen,PLN/SEK,PLN,SEK,1,2.555,2.595,2.555,2.595,12/6
Ryssland,RUB/SEK,RUB,SEK,1,0.12756,0.13194,0.12756,0.13194,15/6
Saudiarabien,SAR/SEK,SAR,SEK,1,2.4851,2.5493,2.4851,2.5493,12/6
Schweiz,CHF/SEK,CHF,SEK,1,11.7826,11.8946,11.7826,11.8946,15/6
Singapore,SGD/SEK,SGD,SEK,1,7.3226,7.3941,7.3226,7.3941,12/6
Storbritannien,GBP/SEK,GBP,SEK,1,12.5957,12.7357,12.5957,12.7357,12/6
Sydafrika,ZAR/SEK,ZAR,SEK,1,0.5718,0.5898,0.5718,0.5898,12/6
Sydkorea,KRW/SEK,KRW,SEK,1,0.006132,0.006304,0.006132,0.006304,15/6
Thailand,THB/SEK,THB,SEK,1,0.2858,0.2916,0.2858,0.2916,12/6
Tjeckien,CZK/SEK,CZK,SEK,1,0.44908,0.45568,0.44908,0.45568,15/6
Turkiet,TRY/SEK,TRY,SEK,1,0.1696,0.2385,0.1696,0.2385,12/6
Ungern,HUF/SEK,HUF,SEK,1,0.030662,0.031423,0.030662,0.031423,15/6
USA,USD/SEK,USD,SEK,1,9.3811,9.5162,9.3811,9.5162,12/6
