pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,currency,name,buy_from_abroad,sell_to_abroad,mid_rate,date
AUD/SEK,AUD,SEK,1,6.6480,6.7364,AUD,Australiensiska dollar,6.6480,6.7364,6.6922,2026-06-26
BRL/SEK,BRL,SEK,1,1.8231,1.9241,BRL,Brasilianska real,1.8231,1.9241,1.8736,2026-06-26
CAD/SEK,CAD,SEK,1,6.79180,6.88030,CAD,Kanadensiska dollar,6.79180,6.88030,6.83605,2026-06-26
CHF/SEK,CHF,SEK,1,11.92970,12.06900,CHF,Schweiziska franc,11.92970,12.06900,11.99935,2026-06-26
CNY/SEK,CNY,SEK,1,1.41110,1.44180,CNY,Kinesiska yuan,1.41110,1.44180,1.42645,2026-06-26
CZK/SEK,CZK,SEK,1,0.45139,0.46071,CZK,Tjeckiska koruna,0.45139,0.46071,0.45605,2026-06-26
DKK/SEK,DKK,SEK,1,1.4715,1.4881,DKK,Danska kronor,1.4715,1.4881,1.4798,2026-06-26
EUR/SEK,EUR,SEK,1,10.9944,11.1280,EUR,Euro,10.9944,11.1280,11.0612,2026-06-26
GBP/SEK,GBP,SEK,1,12.74570,12.89200,GBP,Pound sterling,12.74570,12.89200,12.81885,2026-06-26
HKD/SEK,HKD,SEK,1,1.2242,1.2488,HKD,Hong Kong dollar,1.2242,1.2488,1.2365,2026-06-26
HUF/SEK,HUF,SEK,1,0.0307630,0.0317920,HUF,Ungerska forint,0.0307630,0.0317920,0.0312775,2026-06-26
ILS/SEK,ILS,SEK,1,3.1581,3.3167,ILS,Israelska new shekel,3.1581,3.3167,3.2374,2026-06-26
INR/SEK,INR,SEK,1,0.099400,0.106050,INR,Indiska rupees,0.099400,0.106050,0.102725,2026-06-26
JPY/SEK,JPY,SEK,1,0.059487,0.060521,JPY,Japanska yen,0.059487,0.060521,0.060004,2026-06-26
NOK/SEK,NOK,SEK,1,0.97250,0.98720,NOK,Norska kronor,0.97250,0.98720,0.97985,2026-06-26
NZD/SEK,NZD,SEK,1,5.43760,5.52670,NZD,Nya Zeeländska dollar,5.43760,5.52670,5.48215,2026-06-26
PLN/SEK,PLN,SEK,1,2.5510,2.6128,PLN,Polska zloty,2.5510,2.6128,2.5819,2026-06-26
SGD/SEK,SGD,SEK,1,7.4541,7.5377,SGD,Singapore dollar,7.4541,7.5377,7.4959,2026-06-26
THB/SEK,THB,SEK,1,0.284040,0.297250,THB,Thailändska baht,0.284040,0.297250,0.290645,2026-06-26
TRY/SEK,TRY,SEK,1,0.189930,0.226040,TRY,Turkiska lira,0.189930,0.226040,0.207985,2026-06-26
USD/SEK,USD,SEK,1,9.63040,9.76390,USD,Amerikanska dollar,9.63040,9.76390,9.69715,2026-06-26
ZAR/SEK,ZAR,SEK,1,0.57972,0.60018,ZAR,Sydafrikanska rand,0.57972,0.60018,0.58995,2026-06-26
