country,pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,buy_rate,sell_rate,date
Australien,AUD/SEK,AUD,SEK,1,6.663,6.743,6.663,6.743,31/7
Danmark,DKK/SEK,DKK,SEK,1,1.460545,1.476545,1.460545,1.476545,3/8
Euro,EUR/SEK,EUR,SEK,1,10.90765,11.04765,10.90765,11.04765,31/7
Hongkong,HKD/SEK,HKD,SEK,1,1.2031,1.2294,1.2031,1.2294,31/7
Indien,INR/SEK,INR,SEK,1,0.096848,0.103048,0.096848,0.103048,3/8
Indonesien,IDR/SEK,IDR,SEK,1,0.000516,0.000549,0.000516,0.000549,3/8
Island,ISK/SEK,ISK,SEK,1,0.076815,0.077155,0.076815,0.077155,3/8
Japan,JPY/SEK,JPY,SEK,1,0.05901,0.05995,0.05901,0.05995,3/8
Kanada,CAD/SEK,CAD,SEK,1,6.7594,6.8455,6.7594,6.8455,31/7
Kina,CNY/SEK,CNY,SEK,1,1.4032,1.4232,1.4032,1.4232,3/8
Malaysia,MYR/SEK,MYR,SEK,1,2.318089,2.34809,2.318089,2.34809,31/7
Marocko,MAD/SEK,MAD,SEK,1,1.0058,1.0405,1.0058,1.0405,31/7
Mexiko,MXN/SEK,MXN,SEK,1,0.5428,0.5569,0.5428,0.5569,31/7
Norge,NOK/SEK,NOK,SEK,1,0.0,0.0,0.0,0.0,3/8
Nya Zeeland,NZD/SEK,NZD,SEK,1,5.559,5.6411,5.559,5.6411,31/7
Polen,PLN/SEK,PLN,SEK,1,2.5255,2.5655,2.5255,2.5655,31/7
Ryssland,RUB/SEK,RUB,SEK,1,0.117675,0.122055,0.117675,0.122055,3/8
Saudiarabien,SAR/SEK,SAR,SEK,1,2.5074,2.5717,2.5074,2.5717,31/7
Schweiz,CHF/SEK,CHF,SEK,1,11.75335,11.86535,11.75335,11.86535,3/8
Singapore,SGD/SEK,SGD,SEK,1,7.3994,7.4709,7.3994,7.4709,31/7
Storbritannien,GBP/SEK,GBP,SEK,1,12.751,12.8911,12.751,12.8911,31/7
Sydafrika,ZAR/SEK,ZAR,SEK,1,0.5685,0.5866,0.5685,0.5866,31/7
Sydkorea,KRW/SEK,KRW,SEK,1,0.0,0.0,0.0,0.0,3/8
Thailand,THB/SEK,THB,SEK,1,0.2828,0.2886,0.2828,0.2886,31/7
Tjeckien,CZK/SEK,CZK,SEK,1,0.449995,0.456595,0.449995,0.456595,3/8
Turkiet,TRY/SEK,TRY,SEK,1,0.1661,0.2349,0.1661,0.2349,31/7
Ungern,HUF/SEK,HUF,SEK,1,0.02985,0.030611,0.02985,0.030611,3/8
USA,USD/SEK,USD,SEK,1,9.469,9.604,9.469,9.604,31/7
